datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,RFC,MIDATL,AE,AECO,871.977,True
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,RFC,MIDATL,AE,VMEU,63.569,True
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,RFC,MIDATL,AE,AECO,834.028,True
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,RFC,MIDATL,AE,VMEU,62.352,True
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,RFC,MIDATL,AE,AECO,796.671,True
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,RFC,MIDATL,AE,VMEU,60.556,True
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,RFC,MIDATL,AE,AECO,776.383,True
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,RFC,MIDATL,AE,VMEU,59.141,True
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,RFC,MIDATL,AE,AECO,768.024,True
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,RFC,MIDATL,AE,VMEU,58.726,True
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,RFC,MIDATL,AE,AECO,774.786,True
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,RFC,MIDATL,AE,VMEU,58.901,True
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,RFC,MIDATL,AE,AECO,788.320,True
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,RFC,MIDATL,AE,VMEU,59.451,True
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,RFC,MIDATL,AE,AECO,811.675,True
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,RFC,MIDATL,AE,VMEU,60.022,True
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,RFC,MIDATL,AE,AECO,820.514,True
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,RFC,MIDATL,AE,VMEU,60.866,True
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,RFC,MIDATL,AE,AECO,851.879,True
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,RFC,MIDATL,AE,VMEU,62.072,True
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,RFC,MIDATL,AE,AECO,896.732,True
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,RFC,MIDATL,AE,VMEU,64.546,True
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,RFC,MIDATL,AE,AECO,920.088,True
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,RFC,MIDATL,AE,VMEU,64.997,True
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,RFC,MIDATL,AE,AECO,918.232,True
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,RFC,MIDATL,AE,VMEU,64.771,True
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,RFC,MIDATL,AE,AECO,931.422,True
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,RFC,MIDATL,AE,VMEU,66.481,True
1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,RFC,MIDATL,AE,AECO,934.468,True
1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,RFC,MIDATL,AE,VMEU,66.065,True
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,RFC,MIDATL,AE,AECO,947.447,True
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,RFC,MIDATL,AE,VMEU,67.830,True
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,RFC,MIDATL,AE,AECO,1003.684,True
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,RFC,MIDATL,AE,VMEU,70.932,True
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,RFC,MIDATL,AE,AECO,1075.373,True
